"REF_DATE","GEO","DGUID","Domestic and international itinerant aircraft movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-09-26","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","889","","","","0"
"2020-10-03","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","35797","","","","0"
"2020-10-03","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1406","","","","0"
"2020-10-03","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","871","","","","0"
"2020-10-10","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","31701","","","","0"
"2020-10-10","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1419","","","","0"
"2020-10-10","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","880","","","","0"
"2020-10-17","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","31886","","","","0"
"2020-10-17","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1444","","","","0"
"2020-10-17","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","914","","","","0"
"2020-10-24","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","33748","","","","0"
"2020-10-24","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1505","","","","0"
"2020-10-24","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","930","","","","0"
"2020-10-31","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","34526","","","","0"
"2020-10-31","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1525","","","","0"
"2020-10-31","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","990","","","","0"
"2020-11-07","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","35399","","","","0"
"2020-11-07","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1547","","","","0"
"2020-11-07","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","978","","","","0"
"2020-11-14","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","27546","","","","0"
"2020-11-14","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1723","","","","0"
"2020-11-14","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","992","","","","0"
"2020-11-21","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","26833","","","","0"
"2020-11-21","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1535","","","","0"
"2020-11-21","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","964","","","","0"
"2020-11-28","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","33477","","","","0"
"2020-11-28","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1783","","","","0"
"2020-11-28","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1002","","","","0"
"2020-12-05","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","28549","","","","0"
"2020-12-05","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1874","","","","0"
"2020-12-05","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1085","","","","0"
"2020-12-12","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","25442","","","","0"
"2020-12-12","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1933","","","","0"
"2020-12-12","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1255","","","","0"
"2020-12-19","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","21254","","","","0"
"2020-12-19","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1816","","","","0"
"2020-12-19","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1204","","","","0"
"2020-12-26","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","18310","","","","0"
"2020-12-26","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1803","","","","0"
"2020-12-26","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1073","","","","0"
"2021-01-02","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","23518","","","","0"
"2021-01-02","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1871","","","","0"
"2021-01-02","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1179","","","","0"
"2021-01-09","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24642","","","","0"
"2021-01-09","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1670","","","","0"
"2021-01-09","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1106","","","","0"
"2021-01-16","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","27154","","","","0"
"2021-01-16","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1565","","","","0"
"2021-01-16","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","1022","","","","0"
"2021-01-23","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24647","","","","0"
"2021-01-23","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1516","","","","0"
"2021-01-23","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","940","","","","0"
"2021-01-30","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24088","","","","0"
"2021-01-30","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1399","","","","0"
"2021-01-30","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","946","","","","0"
"2021-02-06","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","23702","","","","0"
"2021-02-06","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1260","","","","0"
"2021-02-06","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","881","","","","0"
"2021-02-13","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24197","","","","0"
"2021-02-13","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1139","","","","0"
"2021-02-13","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","758","","","","0"
"2021-02-20","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","27134","","","","0"
"2021-02-20","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1181","","","","0"
"2021-02-20","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","708","","","","0"
"2021-02-27","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","27944","","","","0"
"2021-02-27","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1069","","","","0"
"2021-02-27","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","777","","","","0"
"2021-03-06","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","33281","","","","0"
"2021-03-06","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1146","","","","0"
"2021-03-06","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","779","","","","0"
"2021-03-13","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","34861","","","","0"
"2021-03-13","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1134","","","","0"
"2021-03-13","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","794","","","","0"
"2021-03-20","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","32065","","","","0"
"2021-03-20","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1171","","","","0"
"2021-03-20","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","787","","","","0"
"2021-03-27","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","27641","","","","0"
"2021-03-27","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1236","","","","0"
"2021-03-27","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","786","","","","0"
"2021-04-03","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","32909","","","","0"
"2021-04-03","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1358","","","","0"
"2021-04-03","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","785","","","","0"
"2021-04-10","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","32287","","","","0"
"2021-04-10","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1306","","","","0"
"2021-04-10","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","790","","","","0"
"2021-04-17","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","33239","","","","0"
"2021-04-17","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1303","","","","0"
"2021-04-17","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","813","","","","0"
"2021-04-24","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","30343","","","","0"
"2021-04-24","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1378","","","","0"
"2021-04-24","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","750","","","","0"
